#TrainType3  -  Started: 5/25/2007 3:03:34 PM									
#SubID	Block	Trial	Condition	Digit	Picture	Response	Correct_Response	Accuracy	RT
26	5	38	2	2	5	X	X	C	434
26	5	39	2	5	3	","	","	C	418
26	5	40	2	2	5	X	X	C	578
26	5	41	2	2	5	X	X	C	466
26	5	42	2	3	1	C	C	C	460
26	5	43	2	4	4	M	M	C	658
26	5	44	2	4	4	M	M	C	466
26	5	45	2	2	5	X	X	C	514
26	5	46	2	5	3	","	","	C	418
26	5	47	2	4	4	M	M	C	466
26	5	48	2	4	4	M	M	C	434
26	5	49	2	6	6	.	.	C	610
26	5	50	2	3	1	C	C	C	620
26	6	1	2	4	4	M	M	C	746
26	6	2	2	6	6	.	.	C	508
26	6	3	2	4	4	M	M	C	434
26	6	4	2	2	5	X	X	C	562
26	6	5	2	2	5	X	X	C	461
26	6	6	2	1	2	Z	Z	C	472
26	6	7	2	2	5	X	X	C	412
26	6	8	2	5	3	","	","	C	450
26	6	9	2	5	3	","	","	C	482
26	6	10	2	1	2	Z	Z	C	412
26	6	11	2	5	3	","	","	C	466
26	6	12	2	6	6	.	.	C	434
26	6	13	2	1	2	Z	Z	C	402
26	6	14	2	2	5	X	X	C	440
26	6	15	2	2	5	X	X	C	434
26	6	16	2	5	3	","	","	C	530
26	6	17	2	2	5	X	X	C	466
26	6	18	2	6	6	.	.	C	450
26	6	19	2	4	4	M	M	C	546
26	6	20	2	4	4	M	M	C	546
26	6	21	2	3	1	C	C	C	466
26	6	22	2	5	3	","	","	C	616
26	6	23	2	5	3	","	","	C	498
26	6	24	2	6	6	.	.	C	530
26	6	25	2	2	5	X	X	C	466
26	6	26	2	5	3	","	","	C	530
26	6	27	2	6	6	.	.	C	562
26	6	28	2	6	6	.	.	C	402
26	6	29	2	1	2	Z	Z	C	434
26	6	30	2	1	2	Z	Z	C	344
26	6	31	2	3	1	","	C	I	434
26	6	32	2	6	6	.	.	C	546
26	6	33	2	6	6	.	.	C	450
26	6	34	2	3	1	C	C	C	546
26	6	35	2	4	4	M	M	C	562
26	6	36	2	4	4	M	M	C	466
26	6	37	2	6	6	.	.	C	530
26	6	38	2	5	3	","	","	C	450
26	6	39	2	1	2	Z	Z	C	498
26	6	40	2	5	3	","	","	C	434
26	6	41	2	3	1	C	C	C	530
26	6	42	2	1	2	Z	Z	C	434
26	6	43	2	5	3	C	","	I	589
26	6	44	2	2	5	X	X	C	674
26	6	45	2	3	1	C	C	C	524
