sid,Block,Trial,Condition,Digit,Picture,Response,Correct_Response,Accuracy,RT
9,8,47,3,2,5,X,X,C,562
9,8,48,3,1,2,Z,Z,C,594
9,8,49,3,6,6,.,.,C,706
9,8,50,3,4,4,M,M,C,625
9,9,1,3,3,1,C,C,C,731
9,9,2,3,3,1,C,C,C,545
9,9,3,3,1,2,Z,Z,C,530
9,9,4,3,2,5,X,X,C,658
9,9,5,3,5,3,",",",",C,562
9,9,6,3,6,6,.,.,C,562
9,9,7,3,1,2,Z,Z,C,594
9,9,8,3,4,4,M,M,C,514
9,9,9,3,6,6,.,.,C,446
9,9,10,3,1,2,Z,Z,C,574
9,9,11,3,1,2,Z,Z,C,386
9,9,12,3,5,3,",",",",C,594
9,9,13,3,6,6,.,.,C,482
9,9,14,3,2,5,X,X,C,546
9,9,15,3,1,2,Z,Z,C,674
9,9,16,3,5,3,",",",",C,544
9,9,17,3,6,6,.,.,C,542
9,9,18,3,4,4,M,M,C,558
9,9,19,3,2,5,X,X,C,594
9,9,20,3,1,2,Z,Z,C,506
9,9,21,3,2,5,X,X,C,514
9,9,22,3,1,2,Z,Z,C,478
9,9,23,3,4,4,M,M,C,817
9,9,24,3,6,6,.,.,C,498
9,9,25,3,5,3,",",",",C,604
9,9,26,3,2,5,X,X,C,578
9,9,27,3,5,3,",",",",C,546
9,9,28,3,1,2,Z,Z,C,514
9,9,29,3,1,2,Z,Z,C,482
9,9,30,3,5,3,",",",",C,545
9,9,31,3,1,2,Z,Z,C,498
9,9,32,3,3,1,C,C,C,690
9,9,33,3,2,5,X,X,C,610
9,9,34,3,3,1,C,C,C,1074
9,9,35,3,4,4,M,M,C,529
9,9,36,3,1,2,Z,Z,C,626
9,9,37,3,3,1,C,C,C,594
9,9,38,3,2,5,X,X,C,610
9,9,39,3,6,6,.,.,C,626
9,9,40,3,3,1,C,C,C,578
9,9,41,3,1,2,Z,Z,C,605
9,9,42,3,2,5,X,X,C,594
9,9,43,3,3,1,C,C,C,574
9,9,44,3,1,2,Z,Z,C,546
9,9,45,3,5,3,",",",",C,626
9,9,46,3,2,5,X,X,C,562
9,9,47,3,1,2,Z,Z,C,517
9,9,48,3,5,3,",",",",C,546
9,9,49,3,5,3,",",",",C,547
9,9,50,3,5,3,",",",",C,546
9,10,1,3,4,4,M,M,C,507
9,10,2,3,1,2,Z,Z,C,578
9,10,3,3,1,2,Z,Z,C,529
9,10,4,3,5,3,",",",",C,498
9,10,5,3,2,5,X,X,C,1282
9,10,6,3,1,2,Z,Z,C,562
9,10,7,3,2,5,X,X,C,626
9,10,8,3,3,1,C,C,C,530
9,10,9,3,1,2,Z,Z,C,546
9,10,10,3,1,2,Z,Z,C,530
9,10,11,3,5,3,",",",",C,562
9,10,12,3,3,1,C,C,C,546
9,10,13,3,3,1,X,C,I,590
9,10,14,3,4,4,M,M,C,609
9,10,15,3,1,2,Z,Z,C,642
9,10,16,3,6,6,.,.,C,1074
9,10,17,3,5,3,",",",",C,686
9,10,18,3,6,6,.,.,C,545
9,10,19,3,5,3,",",",",C,394
9,10,20,3,6,6,.,.,C,530
9,10,21,3,3,1,C,C,C,682
9,10,22,3,2,5,X,X,C,674
9,10,23,3,2,5,X,X,C,578
9,10,24,3,5,3,",",",",C,546
9,10,25,3,4,4,M,M,C,530
9,10,26,3,4,4,M,M,C,498
9,10,27,3,3,1,X,C,I,593
9,10,28,3,4,4,M,M,C,545
9,10,29,3,5,3,",",",",C,514
9,10,30,3,5,3,",",",",C,626
9,10,31,3,6,6,.,.,C,642
9,10,32,3,6,6,.,.,C,434
9,10,33,3,6,6,.,.,C,382
9,10,34,3,6,6,.,.,C,366
9,10,35,3,3,1,C,C,C,578
9,10,36,3,3,1,C,C,C,466
9,10,37,3,1,2,Z,Z,C,593
9,10,38,3,2,5,X,X,C,578
9,10,39,3,5,3,",",",",C,542
9,10,40,3,6,6,.,.,C,594
9,10,41,3,4,4,M,M,C,530
9,10,42,3,3,1,C,C,C,674
9,10,43,3,3,1,C,C,C,466
9,10,44,3,1,2,Z,Z,C,610
9,10,45,3,1,2,Z,Z,C,514
9,10,46,3,2,5,X,X,C,530
9,10,47,3,5,3,",",",",C,590
9,10,48,3,1,2,Z,Z,C,674
9,10,49,3,6,6,.,.,C,546
9,10,50,3,2,5,X,X,C,546
9,11,1,3,2,5,X,X,C,555
9,11,2,3,3,1,C,C,C,574
9,11,3,3,2,5,X,X,C,514
9,11,4,3,1,2,Z,Z,C,592
9,11,5,3,3,1,C,C,C,434
9,11,6,3,4,4,M,M,C,482
9,11,7,3,4,4,M,M,C,485
9,11,8,3,5,3,",",",",C,494
9,11,9,3,4,4,M,M,C,526
9,11,10,3,3,1,C,C,C,530
9,11,11,3,6,6,.,.,C,734
9,11,12,3,4,4,M,M,C,526
9,11,13,3,3,1,C,C,C,578
9,11,14,3,5,3,",",",",C,514
9,11,15,3,2,5,X,X,C,578
9,11,16,3,5,3,",",",",C,674
9,11,17,3,4,4,M,M,C,654
9,11,18,3,6,6,.,.,C,546
9,11,19,3,4,4,.,M,I,562
9,11,20,3,5,3,",",",",C,542
9,11,21,3,1,2,Z,Z,C,578
9,11,22,3,6,6,.,.,C,546
9,11,23,3,4,4,M,M,C,898
9,11,24,3,4,4,M,M,C,386
9,11,25,3,5,3,",",",",C,478
9,11,26,3,3,1,C,C,C,882
9,11,27,3,2,5,X,X,C,721
9,11,28,3,3,1,C,C,C,750
9,11,29,3,1,2,Z,Z,C,578
9,11,30,3,3,1,C,C,C,562
9,11,31,3,1,2,Z,Z,C,638
9,11,32,3,2,5,X,X,C,578
9,11,33,3,1,2,Z,Z,C,610
9,11,34,3,4,4,M,M,C,562
9,11,35,3,2,5,X,X,C,578
9,11,36,3,2,5,X,X,C,658
9,11,37,3,2,5,X,X,C,626
9,11,38,3,2,5,X,X,C,578
9,11,39,3,5,3,",",",",C,594
9,11,40,3,6,6,.,.,C,562
9,11,41,3,2,5,X,X,C,530
9,11,42,3,1,2,Z,Z,C,618
9,11,43,3,1,2,Z,Z,C,802
9,11,44,3,4,4,M,M,C,594
9,11,45,3,1,2,Z,Z,C,594
9,11,46,3,1,2,Z,Z,C,786
9,11,47,3,5,3,",",",",C,610
9,11,48,3,2,5,X,X,C,1842
9,11,49,3,1,2,Z,Z,C,654
9,11,50,3,1,2,Z,Z,C,930
9,12,1,3,3,1,C,C,C,658
9,12,2,3,2,5,X,X,C,593
9,12,3,3,2,5,X,X,C,562
9,12,4,3,6,6,.,.,C,626
9,12,5,3,2,5,X,X,C,613
9,12,6,3,3,1,C,C,C,690
9,12,7,3,6,6,.,.,C,510
9,12,8,3,1,2,Z,Z,C,594
9,12,9,3,2,5,X,X,C,594
9,12,10,3,1,2,Z,Z,C,546
9,12,11,3,1,2,Z,Z,C,546
9,12,12,3,6,6,.,.,C,418
9,12,13,3,4,4,M,M,C,946
9,12,14,3,6,6,.,.,C,382
9,12,15,3,6,6,.,.,C,450
9,12,16,3,3,1,X,C,I,498
9,12,17,3,6,6,.,.,C,702
9,12,18,3,4,4,M,M,C,546
9,12,19,3,6,6,.,.,C,562
9,12,20,3,5,3,",",",",C,530
9,12,21,3,6,6,.,.,C,514
9,12,22,3,6,6,.,.,C,402
9,12,23,3,2,5,X,X,C,658
9,12,24,3,5,3,",",",",C,706
9,12,25,3,6,6,.,.,C,498
9,12,26,3,4,4,M,M,C,722
9,12,27,3,6,6,.,.,C,466
9,12,28,3,3,1,C,C,C,801
9,12,29,3,4,4,M,M,C,802
9,12,30,3,6,6,.,.,C,450
9,12,31,3,6,6,.,.,C,418
9,12,32,3,5,3,",",",",C,558
9,12,33,3,2,5,X,X,C,1346
9,12,34,3,6,6,.,.,C,866
9,12,35,3,2,5,X,X,C,578
9,12,36,3,6,6,.,.,C,514
9,12,37,3,5,3,",",",",C,522
9,12,38,3,6,6,.,.,C,418
9,12,39,3,3,1,C,C,C,578
9,12,40,3,1,2,Z,Z,C,578
9,12,41,3,5,3,",",",",C,558
9,12,42,3,3,1,C,C,C,590
9,12,43,3,4,4,M,M,C,578
9,12,44,3,1,2,Z,Z,C,530
9,12,45,3,4,4,M,M,C,670
9,12,46,3,3,1,C,C,C,642
9,12,47,3,1,2,Z,Z,C,530
9,12,48,3,3,1,C,C,C,834
9,12,49,3,6,6,.,.,C,562
9,12,50,3,6,6,.,.,C,497
9,13,1,3,2,5,X,X,C,854
9,13,2,3,5,3,",",",",C,625
9,13,3,3,4,4,M,M,C,546
9,13,4,3,1,2,Z,Z,C,546
9,13,5,3,5,3,",",",",C,530
9,13,6,3,6,6,.,.,C,610
9,13,7,3,2,5,X,X,C,626
9,13,8,3,4,4,M,M,C,610
9,13,9,3,4,4,M,M,C,594
9,13,10,3,1,2,Z,Z,C,546
9,13,11,3,6,6,.,.,C,626
9,13,12,3,3,1,C,C,C,690
9,13,13,3,6,6,.,.,C,514
9,13,14,3,3,1,C,C,C,638
9,13,15,3,5,3,",",",",C,526
9,13,16,3,6,6,.,.,C,514
9,13,17,3,5,3,",",",",C,482
9,13,18,3,4,4,M,M,C,609
9,13,19,3,6,6,.,.,C,434
9,13,20,3,1,2,Z,Z,C,578
9,13,21,3,5,3,",",",",C,530
9,13,22,3,6,6,.,.,C,546
9,13,23,3,3,1,C,C,C,546
9,13,24,3,2,5,C,X,I,546
9,13,25,3,4,4,.,M,I,766
9,13,26,3,2,5,X,X,C,702
9,13,27,3,1,2,Z,Z,C,610
9,13,28,3,3,1,C,C,C,610
9,13,29,3,1,2,Z,Z,C,610
9,13,30,3,4,4,M,M,C,626
9,13,31,3,6,6,.,.,C,930
9,13,32,3,4,4,M,M,C,638
9,13,33,3,1,2,Z,Z,C,558
9,13,34,3,2,5,X,X,C,882
9,13,35,3,4,4,M,M,C,562
9,13,36,3,1,2,Z,Z,C,674
9,13,37,3,1,2,Z,Z,C,510
9,13,38,3,4,4,M,M,C,978
9,13,39,3,4,4,M,M,C,514
9,13,40,3,6,6,.,.,C,610
9,13,41,3,2,5,X,X,C,642
9,13,42,3,1,2,Z,Z,C,818
9,13,43,3,6,6,.,.,C,753
9,13,44,3,1,2,Z,Z,C,622
9,13,45,3,3,1,C,C,C,946
9,13,46,3,2,5,X,X,C,578
9,13,47,3,4,4,M,M,C,546
9,13,48,3,1,2,.,Z,I,514
9,13,49,3,5,3,",",",",C,558
9,13,50,3,5,3,",",",",C,530
9,14,1,3,3,1,C,C,C,586
9,14,2,3,2,5,X,X,C,561
9,14,3,3,1,2,Z,Z,C,546
9,14,4,3,5,3,",",",",C,530
9,14,5,3,1,2,Z,Z,C,626
9,14,6,3,5,3,",",",",C,530
9,14,7,3,6,6,.,.,C,561
9,14,8,3,3,1,C,C,C,402
9,14,9,3,3,1,C,C,C,386
9,14,10,3,4,4,M,M,C,573
9,14,11,3,1,2,Z,Z,C,626
9,14,12,3,4,4,M,M,C,594
9,14,13,3,4,4,M,M,C,486
9,14,14,3,4,4,M,M,C,642
9,14,15,3,4,4,M,M,C,305
9,14,16,3,4,4,M,M,C,353
9,14,17,3,3,1,C,C,C,609
9,14,18,3,3,1,C,C,C,418
9,14,19,3,6,6,.,.,C,706
9,14,20,3,3,1,C,C,C,610
9,14,21,3,4,4,M,M,C,514
9,14,22,3,2,5,X,X,C,562
9,14,23,3,5,3,",",",",C,562
9,14,24,3,1,2,Z,Z,C,546
9,14,25,3,5,3,",",",",C,562
